"imagePath","pixelDimension","totalLength_px","headFinLength_px","notes"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png",0.0045,491.31,133.82,"cj
"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_489.756.png",0.0045,1284.66,386.25,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_542.509.png",0.0045,498.78,144.28,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/ind1/Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003.png",0.0045,518.37,151.37,"aj
"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_230.330.png",0.0045,518,164.65,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_414.915.png",0.0045,504.73,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/ind2/Gal2023_DJIMini2_20230215_152449.MP4_00_06_54_vlc00005.png",0.0045,467.45,132.95,"aj
"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_414.915.png",0.0045,467.81,132.44,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_445.612.png",0.0045,486.72,143.09,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/Gal2023_DJIMini2_20230215_155136_106.873.png",0.0045,933.45,315.26,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/Gal2023_DJIMini2_20230215_155136_126.059.png",0.0045,1043.62,320.15,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/ind1/Gal2023_DJIMini2_20230215_155136_88.689.png",0.0045,607.22,201.07,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png",0.0045,443.86,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind1/Gal2023_DJIMini2_20230215_174209_58.258.png",0.0045,423.85,138.66,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_96.763.png",0.0045,449.16,145.21,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png",0.0045,374.42,119.39,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind2/Gal2023_DJIMini2_20230215_174209_434.501.png",0.0045,579.49,205.2,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_96.763.png",0.0045,380.21,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind3/Gal2023_DJIMini2_20230215_174209_126.860.png",0.0045,382.87,109.41,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png",0.0045,389.99,113.97,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_73.874.png",0.0045,366.74,109.91,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_271.705.png",0.0045,577.37,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/ind1/Gal2023_DJIMini2_20230215_175516_272.472.png",0.0045,575.75,179.84,"aj"
