"imagePath","pixelDimension","totalLength_px","headFinLength_px","notes"
"C:/Users/balae/Desktop/2024-07-25_P4P_1_Gully_063.MOV_00_02_30_vlc00003.png",0.00322,2068.65,789.54,""
"C:/Users/balae/Desktop/2024-07-25_P4P_1_Gully_063.MOV_00_02_49_vlc00004.png",0.00322,2021.89,791.4,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/Male_Sperms_Gully_Arctic/Arctic/2024-09-18_INSP2_4_Arctic_005/2024-09-18_INSP2_4_Arctic_005.MOV_00_01_32_vlc00001.png",0.004505,2272.43,888.95,""
