Index,FileName,formation_annotatoed,Duration_sec,GPSCoordinates,LocalTime,TripNo,FlightNo,whales,Glare,Sea,Focus,Exposure,Quality Rating,interspecies_status,nadir_shot_available,snapshot_taken,MainActivity,flipper_visible,reason_not taken?,morphometrix_measured,Sleap_Lables_for_Training,pMales,pAdults,pCalves,pOtherSpecies,MaxNumber,Describe,OriginalFileName,exclude for other reasons?,,,
19,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_104617.MP4,,511.744567,-89.0224,2023-02-15 10:46,2,18,whales,2,0,0,0,2,,no,na,socializing,na,"no good surface whales, but good genital images",no,,no,yes,yes,no,4,1 cluster body rubbing,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0026.MP4,,,,
20,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_145125.MP4,,752.718633,-88.9571,2023-02-15 14:51,2,19,whales,0,1,0,0,1,,yes,yes,breathing,yes,,yes,,no,yes,no,no,2,1 cluster,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0028.MP4,,,,
21,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_151140.MP4,,619.2186,-88.9545,2023-02-15 15:11,2,20,whales,0,0,1,0,1,,no,na,breathing,na,,no,,no,yes,no,no,2,1 cluster,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0029.MP4,,,,
22,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_152449.MP4,yes,770.136033,-88.9495,2023-02-15 15:24,2,21,whales,0,0,0,0,0,,yes,yes,breathing,yes,,yes,,no,yes,no,no,2,1 cluster,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0030.MP4,,,,
23,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_155136.MP4,,343.309633,-88.9398,2023-02-15 15:51,2,22,whales,0,0,0,0,0,,yes,yes,foraging,yes,,yes,,no,yes,no,no,1,single adult/juvenile,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0031.MP4,,,,
24,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_160121.MP4,,563.7632,-88.9335,2023-02-15 16:01,2,23,whales,0,0,0,0,0,,no,na,foraging/socializing,na,,no,,no,yes,yes,no,1,adult calf pair,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0032.MP4,,,,
25,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_174209.MP4,,656.622633,-88.9445,2023-02-15 17:42,2,24,whales,0,0,0,1,1,,yes,yes,foraging/socializing,yes,,yes,,no,yes,no,no,3,1 cluster that splits,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0033.MP4,,,,
26,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_175516.MP4,yes,706.839467,-88.9443,2023-02-15 17:55,2,25,whales,0,0,0,1,1,,yes,yes,socializing,some,,yes,,no,yes,yes,no,2,1 cluster body rubbing,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0034.MP4,,,,
27,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_181849.MP4,,664.330333,-88.9364,2023-02-15 18:18,2,26,whales,0,0,1,2,3,,no,no,breathing,na,,no,,no,yes,no,no,1,single adult/juvenile,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0035.MP4,,,,
28,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_093838.MP4,,772.605167,-88.4201,2023-02-16 09:38,2,27,whales,2,2,0,0,4,within 30 mins other cetacean enc,yes,yes,socializing,yes,,yes,,no,yes,no,no,3,1 cluster body rubbing,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0036.MP4,,,,
29,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_095603.MP4,,716.048667,-88.4281,2023-02-16 09:56,2,28,whales,1,2,2,0,5,,,,socializing,,,,,no,yes,yes,no,25,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0037.MP4,not perpendicular,,,
30,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_101241.MP4,,707.373333,-88.4351,2023-02-16 10:12,2,29,whales,1,2,2,0,5,,,,socializing,,,,,no,yes,yes,no,24,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0038.MP4,not perpendicular,,,
31,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_102932.MP4,yes,771.8711,-88.4385,2023-02-16 10:29,2,30,whales,0,2,2,0,4,yes,no,na,socializing,na,,na,,no,yes,yes,no,30,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0039.MP4,not perpendicular,,,
32,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_105012.MP4,,128.394933,-88.4406,2023-02-16 10:50,2,31,whales,2,2,2,0,6,,,,socializing,,,,,no,yes,yes,no,18,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0040.MP4,,,,
33,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_105226.MP4,,1.16783333,-88.44,2023-02-16 10:52,2,31,whales,0,0,0,0,NA,,,,socializing,,,,,no,yes,yes,no,10,body rubbing and splitting & joining - poor quality,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0041.MP4,too short,,,
34,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_105252.MP4,,590.8903,-88.4399,2023-02-16 10:52,2,31,whales,2,2,2,0,6,,,,socializing,,,,,no,yes,yes,no,17,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0042.MP4,not perpendicular,,,
35,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_110723.MP4,,730.062667,-88.4356,2023-02-16 11:07,2,32,whales,2,1,2,0,5,,,,socializing,,,,,no,yes,yes,no,18,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0043.MP4,,,,
36,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_112307.MP4,,672.605267,-88.4262,2023-02-16 11:23,2,33,whales,2,2,2,0,6,,,,socializing,,,,,no,yes,yes,no,25,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0044.MP4,,,,
37,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_113932.MP4,,636.168867,-88.4223,2023-02-16 11:39,2,34,whales,2,2,2,0,6,,,,socializing,,,,,no,yes,yes,no,16,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0046.MP4,not perpendicular,,,
38,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_134930.MP4,,685.951933,-88.3632,2023-02-16 13:49,2,35,whales,1,1,2,0,4,yes,no,na,socializing,na,,na,117,no,yes,yes,yes - pilot,20,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0047.MP4,not perpendicular,,,
39,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_140059.MP4,,12.8795333,-88.3625,2023-02-16 14:00,2,36,blank,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,clock,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0048.MP4,,,,
40,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_140417.MP4,yes,708.174133,-88.363,2023-02-16 14:04,2,36,whales,0,0,1,0,1,,no,na,socializing,na,,na,,no,yes,yes,yes - pilot,20,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0049.MP4,not perpendicular,,,
41,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_141850.MP4,,786.3856,-88.357,2023-02-16 14:18,2,37,whales,1,1,2,0,4,,no,na,socializing,na,,na,,yes,yes,yes,yes - pilot,23,body rubbing and splitting & joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0050.MP4,not perpendicular,,,
42,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_143544.MP4,,731.5308,-88.3561,2023-02-16 14:35,2,38,whales,0,1,1,0,2,,no,na,socializing,na,no flight log,na,,yes,yes,yes,yes - pilot,6,single cluster,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0051.MP4,,,,
43,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_171524.MP4,yes,636.802833,NA,2023-02-16 17:15,2,39,whales,1,0,1,0,2,,no,na,breathing,na,no flight log,na,,no,yes,no,no,5,single cluster splitting and joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0053.MP4,,,,
44,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_171601.MP4,,11.9119,NA,2023-02-16 17:16,2,39,whales,0,0,0,0,NA,,,,breathing,,,,,no,yes,no,no,2,adut pair,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0052.MP4,too short,,,
45,/Volumes/GalDron23B/Drone_2023/2162023/Gal2023_DJIMini2_20230216_173027.MP4,,793.6929,-88.4695,2023-02-16 17:30,2,40,whales,0,0,2,0,2,,no,na,breathing,na,no flight log,na,,no,yes,no,no,15,clusters splitting and joining,/Volumes/GalDron23B/Drone_2023/02162023/DJI_0054.MP4,,,,
46,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_072720.MP4,,692.2916,0.1009 -88.6815,2023-02-17 07:27,2,41,whales,0,2,2,0,4,,na,na,socializing,na,no flight log,na,,no,yes,yes,no,45,giant cluster in v and echelon formation,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0055.MP4,not perpendicular,,,
47,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_074317.MP4,,756.756,0.0853 -88.6891,2023-02-17 07:43,2,42,whales,1,2,1,0,4,,na,na,socializing,na,no flight log,na,20,no,yes,yes,no,47,giant cluster in v and echelon formation,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0056.MP4,,,,
48,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_080310.MP4,,11.9119,NA,2023-02-17 08:03,2,43,whales,0,0,0,0,NA,,,,socializing,,,,,yes,no,no,no,1,short clip of a single male,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0057.MP4,too short,,,
49,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_082027.MP4,,642.8422,0.0521 -88.7057,2023-02-17 08:20,2,44,whales,1,1,2,0,4,,na,na,socializing,na,no flight log,na,,yes,yes,no,no,8,"two clusters, one with 8A1M, 1 giant cluster",/Volumes/GalDron23B/Drone_2023/02172023/DJI_0060.MP4,,,,
50,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_083958.MP4,,766.532433,0.0378 -88.7152,2023-02-17 08:39,2,45,whales,1,1,2,0,4,yes,na,na,socializing,na,no flight log,na,,yes,yes,no,killer whales,60,giant cluster charging and 2 killer whale clusters,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0063.MP4,,,,
51,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_085629.MP4,,707.873833,0.0367 -88.7128,2023-02-17 08:56,2,46,whales,1,1,1,0,3,yes,na,na,socializing,na,no flight log,na,,yes,yes,no,killer whales,42,giant cluster charging and 2 killer whale clusters,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0064.MP4,,,,
52,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_091148.MP4,,672.405067,0.0248 -88.7197,2023-02-17 09:11,2,47,whales,1,1,2,0,4,,na,na,socializing,na,no flight log,na,,no,yes,yes,no,100,giant cluster,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0065.MP4,,,,
53,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_092723.MP4,,742.308233,0.0208 -88.723,2023-02-17 09:27,2,48,whales,1,1,1,0,3,,na,na,socializing,na,no flight log,na,,no,yes,yes,no,20,big cluster,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0066.MP4,,,,
54,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_150226.MP4,,742.875467,0.1842 -88.7888,2023-02-17 15:02,2,49,whales,0,1,2,0,3,yes,yes,yes,socializing,yes,,yes,,no,yes,yes,no,11,clusters splitting and joining,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0067.MP4,,,,
55,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_152121.MP4,,582.9824,0.1939 -88.8035,2023-02-17 15:21,2,50,whales,0,1,0,0,1,,yes,yes,socializing,,,yes,,no,yes,yes,no,14,clusters splitting and joining,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0068.MP4,,,,
56,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_154240.MP4,,534.567367,0.2062 -88.8184,2023-02-17 15:42,2,51,whales,0,1,0,0,1,,yes,yes,socializing,,,yes,,no,yes,yes,no,10,clusters splitting and joining,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0070.MP4,,,,
57,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_155721.MP4,,689.055033,0.2114 -88.8296,2023-02-17 15:57,2,52,whales,0,1,1,0,2,,yes,yes,socializing,,,yes,,no,yes,no,no,10,clusters splitting and joining,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0071.MP4,,,,
58,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_161415.MP4,,829.662167,0.2199 -88.8414,2023-02-17 16:14,2,53,whales,0,1,1,0,2,,yes,yes,socializing,,,yes,,no,yes,no,no,12,clusters splitting and joining - echelon,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0072.MP4,,,,
59,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_163227.MP4,,648.9483,0.2274 -88.8579,2023-02-17 16:32,2,54,whales,0,1,0,0,1,,yes,yes,breathing,,,yes,,no,yes,no,no,3,single cluster,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0073.MP4,,,,
60,/Volumes/GalDron23B/Drone_2023/2172023/Gal2023_DJIMini2_20230217_164752.MP4,,668.4678,0.2316 -88.8684,2023-02-17 16:47,2,55,whales,0,1,0,0,1,,yes,yes,foraging/breathing,,,yes,,no,yes,no,no,3,cluster members dive,/Volumes/GalDron23B/Drone_2023/02172023/DJI_0074.MP4,,,,
61,/Volumes/GalDron23B/Drone_2023/2182023/Gal2023_DJIMini2_20230218_083251.MP4,,0.96763333,0 0,2023-02-18 08:32,2,56,blank,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,NA,/Volumes/GalDron23B/Drone_2023/02182023/DJI_0075.MP4,,,,
